| Team Name                      | School                                                |   # Solved |   Penalty |
| CodeShiba                      | Purdue University                                     |          4 |       206 |
| Big uh-oh                      | Liberty University                                    |          4 |       215 |
| UPEI Panthers JKJ              | University of Prince Edward Island                    |          4 |       229 |
| Elijah Spicer                  | University of Louisville                              |          4 |       232 |
| NaN2022                        | Dakota State University                               |          4 |       233 |
| SubhashTeam                    | Georgia Institute of Technology                       |          4 |       264 |
| Matthew MacLean                | Mount Allison University                              |          4 |       281 |
| GSDP                           | McGill University                                     |          4 |       286 |
| Purdue                         | Purdue University                                     |          4 |       286 |
| Alberta Green                  | University of Alberta                                 |          4 |       307 |
| ggdG:x                         | Dakota State University                               |          4 |       309 |
| Jacob Higdon                   | University of Louisville                              |          4 |       320 |
| RHIT-White                     | Rose-Hulman Institute of Technology                   |          4 |       322 |
| York-Team2                     | York University                                       |          4 |       338 |
| Alexander Giroux               | Mount Allison University                              |          4 |       339 |
| Sam Beyer                      | Baylor University                                     |          4 |       344 |
| Hayden Walker                  | Mount Allison University                              |          4 |       355 |
| ezrabbit                       | Ohio State University                                 |          4 |       361 |
| RHIT-Red                       | Rose-Hulman Institute of Technology                   |          4 |       373 |
| Baker Boys                     | Texas A&M University                                  |          4 |       380 |
| Redhawk2                       | Southeast Missouri State University                   |          4 |       417 |
| UCSD Team 19                   | University of California, San Diego                   |          4 |       420 |
| VU Team 4                      | Vanderbilt University                                 |          4 |       424 |
| Four                           | Stanford University                                   |          4 |       434 |
| DPU 2                          | DePauw University                                     |          4 |       440 |
| OJK                            | University of Michigan                                |          4 |       456 |
| AM-GM                          | University of Washington                              |          4 |       483 |
| FIU-L                          | Florida International University                      |          4 |       489 |
| UCSD Team 8                    | University of California, San Diego                   |          4 |       490 |
| Patrick Boyle                  | Baylor University                                     |          4 |       497 |
| NullPointerException           | Rice University                                       |          4 |       497 |
| Nick_Bartochowski              | Washington University in St. Louis                    |          4 |       521 |
| UPEI Panther EMM               | University of Prince Edward Island                    |          4 |       525 |
| Cindy Hu                       | University of Toronto                                 |          4 |       529 |
| UIUC 22                        | University of Illinois at Urbana–Champaign            |          4 |       545 |
| Golden Rams 2                  | West Chester University                               |          4 |       561 |
| CWRU3                          | Case Western Reserve University                       |          4 |       570 |
| No Name Given                  | Rice University                                       |          4 |       588 |
| Null                           | Ohio State University                                 |          4 |       609 |
| team 9                         | Duke University                                       |          4 |       611 |
| 23M                            | Rice University                                       |          4 |       623 |
| CWRU4                          | Case Western Reserve University                       |          4 |       650 |
| Tung_Lun_Ngok                  | Washington University in St. Louis                    |          4 |       682 |
| Land Jellyfish                 | Ohio State University                                 |          4 |       685 |
| Macalester Blue                | Macalester College                                    |          4 |       790 |
| UCSD Team 13                   | University of California, San Diego                   |          4 |       794 |
| NEU Amtrak                     | Northeastern University                               |          4 |      1082 |
| APerson                        | Stony Brook University                                |          3 |        75 |
| byteword                       | Georgia Institute of Technology                       |          3 |       102 |
| Brian Tan                      | Virginia Tech                                         |          3 |       103 |
| the ballers                    | University of Michigan                                |          3 |       105 |
| Blazin                         | Ohio State University                                 |          3 |       107 |
| Mocs3                          | Florida Southern College                              |          3 |       115 |
| BPT Qualifier Team             | University of Manitoba                                |          3 |       124 |
| NH                             | Purdue University                                     |          3 |       135 |
| alexdela                       | University of Michigan                                |          3 |       137 |
| Flyed                          | Georgia Institute of Technology                       |          3 |       140 |
| Francis Boyle                  | Baylor University                                     |          3 |       149 |
| January 22nd too early         | San José State University                             |          3 |       158 |
| Mocs2                          | Florida Southern College                              |          3 |       161 |
| HPU                            | High Point University                                 |          3 |       163 |
| Carol                          | Emory University                                      |          3 |       175 |
| ak                             | Georgia Institute of Technology                       |          3 |       177 |
| UIUC 14                        | University of Illinois at Urbana–Champaign            |          3 |       180 |
| Brock Badgers                  | Brock University                                      |          3 |       199 |
| BJU Bruins 4                   | Bob Jones University                                  |          3 |       204 |
| mfshi03                        | Virginia Tech                                         |          3 |       205 |
| CSElites                       | Purdue University                                     |          3 |       207 |
| UCSD Team 22                   | University of California, San Diego                   |          3 |       207 |
| Team Massive                   | Ohio State University                                 |          3 |       216 |
| UCSD Team 10                   | University of California, San Diego                   |          3 |       216 |
| UBC MLE                        | University of British Columbia                        |          3 |       219 |
